Assay Name	Standardised Name	Tumour individual	Sample type	Lineage Assigned	Study (Batch)	Breast Cancer Subtype
ppb.iBAQ.L.Tumour.ERPRBC_23_Tyanova_Luminal_T1cN1M0_Grade2	Tumour.ERPRBC	Tumour.ERPRBC_23	Tumour	Breast	Tyanova	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_25_Tyanova_Luminal_T1cN1M0_Grade2	Tumour.ERPRBC	Tumour.ERPRBC_25	Tumour	Breast	Tyanova	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_26_Tyanova_Luminal_T2N1M0_Grade2	Tumour.ERPRBC	Tumour.ERPRBC_26	Tumour	Breast	Tyanova	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_27_Tyanova_Luminal_T2N0M0_Grade3	Tumour.ERPRBC	Tumour.ERPRBC_27	Tumour	Breast	Tyanova	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_28_Tyanova_Luminal_T1cN1M0_Grade2	Tumour.ERPRBC	Tumour.ERPRBC_28	Tumour	Breast	Tyanova	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_3_Pozniak_Luminal_LymphNodeNeg_Grade2	Tumour.ERPRBC	Tumour.ERPRBC_3	Tumour	Breast	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_3_Tyanova_Luminal_T2N1M0_Grade3	Tumour.ERPRBC	Tumour.ERPRBC_3	Tumour	Breast	Tyanova	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_32_Pozniak_Luminal_LymphNodePos_Grade3	Tumour.ERPRBC	Tumour.ERPRBC_32	Tumour	Breast	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_33_Pozniak_Luminal_LymphNodePos_Grade2	Tumour.ERPRBC	Tumour.ERPRBC_33	Tumour	Breast	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_36_Pozniak_Luminal_LymphNodePos_Grade2	Tumour.ERPRBC	Tumour.ERPRBC_36	Tumour	Breast	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_36_Tyanova_Luminal.B.ERPRandHer2_T2N0M0_Grade3	Tumour.ERPRBC	Tumour.ERPRBC_36	Tumour	Breast	Tyanova	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_37_Pozniak_Luminal_LymphNodePos_Grade2.3	Tumour.ERPRBC	Tumour.ERPRBC_37	Tumour	Breast	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_4_Pozniak_Luminal_LymphNodeNeg_Grade2	Tumour.ERPRBC	Tumour.ERPRBC_4	Tumour	Breast	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_4_Tyanova_Luminal_T1cN0M0_Grade2	Tumour.ERPRBC	Tumour.ERPRBC_4	Tumour	Breast	Tyanova	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_40_Pozniak_Luminal_LymphNodePos_Grade2	Tumour.ERPRBC	Tumour.ERPRBC_40	Tumour	Breast	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_41_Pozniak_Luminal_LymphNodePos_Grade2	Tumour.ERPRBC	Tumour.ERPRBC_41	Tumour	Breast	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_44_Pozniak_Luminal_LymphNodePos_Grade3	Tumour.ERPRBC	Tumour.ERPRBC_44	Tumour	Breast	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_48_Pozniak_Luminal_LymphNodePos_Grade3	Tumour.ERPRBC	Tumour.ERPRBC_48	Tumour	Breast	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_49_Pozniak_Luminal_LymphNodePos_Grade2	Tumour.ERPRBC	Tumour.ERPRBC_49	Tumour	Breast	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_5_Tyanova_Luminal_T1aN0M0_Grade2	Tumour.ERPRBC	Tumour.ERPRBC_5	Tumour	Breast	Tyanova	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_6_Pozniak_Luminal_LymphNodeNeg_Grade2	Tumour.ERPRBC	Tumour.ERPRBC_6	Tumour	Breast	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC_7_Pozniak_Luminal_LymphNodeNeg_Grade2	Tumour.ERPRBC	Tumour.ERPRBC_7	Tumour	Breast	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC.LymphNodeMetastaticTissue_10_Pozniak_Luminal_LymphNodePos_Grade2	Tumour.ERPRBC.LymphNodeMetastaticTissue	Tumour.ERPRBC.LymphNodeMetastaticTissue_10	Tumour	Breast.Metastatic	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC.LymphNodeMetastaticTissue_11_Pozniak_Luminal_LymphNodePos_Grade2.3	Tumour.ERPRBC.LymphNodeMetastaticTissue	Tumour.ERPRBC.LymphNodeMetastaticTissue_11	Tumour	Breast.Metastatic	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC.LymphNodeMetastaticTissue_14_Pozniak_Luminal_LymphNodePos_Grade2	Tumour.ERPRBC.LymphNodeMetastaticTissue	Tumour.ERPRBC.LymphNodeMetastaticTissue_14	Tumour	Breast.Metastatic	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC.LymphNodeMetastaticTissue_15_Pozniak_Luminal_LymphNodePos_Grade2	Tumour.ERPRBC.LymphNodeMetastaticTissue	Tumour.ERPRBC.LymphNodeMetastaticTissue_15	Tumour	Breast.Metastatic	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC.LymphNodeMetastaticTissue_18_Pozniak_Luminal_LymphNodePos_Grade3	Tumour.ERPRBC.LymphNodeMetastaticTissue	Tumour.ERPRBC.LymphNodeMetastaticTissue_18	Tumour	Breast.Metastatic	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC.LymphNodeMetastaticTissue_20_Pozniak_Luminal_LymphNodePos_Grade3	Tumour.ERPRBC.LymphNodeMetastaticTissue	Tumour.ERPRBC.LymphNodeMetastaticTissue_20	Tumour	Breast.Metastatic	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC.LymphNodeMetastaticTissue_23_Pozniak_Luminal_LymphNodePos_Grade2	Tumour.ERPRBC.LymphNodeMetastaticTissue	Tumour.ERPRBC.LymphNodeMetastaticTissue_23	Tumour	Breast.Metastatic	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC.LymphNodeMetastaticTissue_7_Pozniak_Luminal_LymphNodePos_Grade3	Tumour.ERPRBC.LymphNodeMetastaticTissue	Tumour.ERPRBC.LymphNodeMetastaticTissue_7	Tumour	Breast.Metastatic	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.ERPRBC.LymphNodeMetastaticTissue_8_Pozniak_Luminal_LymphNodePos_Grade2	Tumour.ERPRBC.LymphNodeMetastaticTissue	Tumour.ERPRBC.LymphNodeMetastaticTissue_8	Tumour	Breast.Metastatic	Pozniak	ERPR (estrogen/ progesterone receptor positive)
ppb.iBAQ.L.Tumour.Her2BC_10_Tyanova_Her2_T2N1M0_Grade3	Tumour.Her2BC	Tumour.Her2BC_10	Tumour	Breast	Tyanova	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.L.Tumour.Her2BC_13_Tyanova_Her2_TNMstageND_Grade3	Tumour.Her2BC	Tumour.Her2BC_13	Tumour	Breast	Tyanova	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.L.Tumour.Her2BC_20_Tyanova_Her2_T2N1M0_Grade2	Tumour.Her2BC	Tumour.Her2BC_20	Tumour	Breast	Tyanova	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.L.Tumour.Her2BC_29_Tyanova_Her2_T2N1M0_Grade2	Tumour.Her2BC	Tumour.Her2BC_29	Tumour	Breast	Tyanova	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.L.Tumour.Her2BC_30_Tyanova_Her2_T2N0M0_Grade3	Tumour.Her2BC	Tumour.Her2BC_30	Tumour	Breast	Tyanova	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.L.Tumour.Her2BC_30B_Tyanova_Her2_T4N0M0_Grade3	Tumour.Her2BC	Tumour.Her2BC_30B	Tumour	Breast	Tyanova	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.L.Tumour.Her2BC_31_Tyanova_Her2_T2N2M0_Grade3	Tumour.Her2BC	Tumour.Her2BC_31	Tumour	Breast	Tyanova	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.L.Tumour.Her2BC_33_Tyanova_Her2_T2N1M0_Grade3	Tumour.Her2BC	Tumour.Her2BC_33	Tumour	Breast	Tyanova	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.L.Tumour.Her2BC_34_Tyanova_Her2_T2N1M0_Grade3	Tumour.Her2BC	Tumour.Her2BC_34	Tumour	Breast	Tyanova	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.L.Tumour.Her2BC_37_Tyanova_Her2_T1cN0M0_Grade3	Tumour.Her2BC	Tumour.Her2BC_37	Tumour	Breast	Tyanova	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.L.Tumour.Her2BC_43_Tyanova_Her2_T2N3M0_Grade3	Tumour.Her2BC	Tumour.Her2BC_43	Tumour	Breast	Tyanova	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.L.Tumour.Her2BC_6_Tyanova_Her2_T2N1M0_Grade3	Tumour.Her2BC	Tumour.Her2BC_6	Tumour	Breast	Tyanova	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.L.Tumour.Her2BC_7_Tyanova_Her2_T2N0M0_Grade3	Tumour.Her2BC	Tumour.Her2BC_7	Tumour	Breast	Tyanova	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.L.Tumour.Her2BC_8_Tyanova_Her2_T1bN0M0_Grade3	Tumour.Her2BC	Tumour.Her2BC_8	Tumour	Breast	Tyanova	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.L.Tumour.Her2BC_9_Tyanova_Her2_T2N0M0_Grade2	Tumour.Her2BC	Tumour.Her2BC_9	Tumour	Breast	Tyanova	HER2 (receptor tyrosine-protein kinase erbB-2 amplified)
ppb.iBAQ.L.Tumour.Prostate_1_Iglesias.Gato_GleasonScore7	Tumour.Prostate	Tumour.Prostate_1	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_10_Iglesias.Gato_GleasonScore6	Tumour.Prostate	Tumour.Prostate_10	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_11_Iglesias.Gato_GleasonScore8	Tumour.Prostate	Tumour.Prostate_11	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_12_Iglesias.Gato_GleasonScore7	Tumour.Prostate	Tumour.Prostate_12	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_13_Iglesias.Gato_GleasonScore7	Tumour.Prostate	Tumour.Prostate_13	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_14_Iglesias.Gato_GleasonScore7	Tumour.Prostate	Tumour.Prostate_14	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_15_Iglesias.Gato_GleasonScore8	Tumour.Prostate	Tumour.Prostate_15	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_16_Iglesias.Gato_GleasonScore6	Tumour.Prostate	Tumour.Prostate_16	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_17_Iglesias.Gato_GleasonScore9	Tumour.Prostate	Tumour.Prostate_17	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_18_Iglesias.Gato_GleasonScore7	Tumour.Prostate	Tumour.Prostate_18	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_19_Iglesias.Gato_GleasonScore8	Tumour.Prostate	Tumour.Prostate_19	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_2_Iglesias.Gato_GleasonScore7	Tumour.Prostate	Tumour.Prostate_2	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_20_Iglesias.Gato_GleasonScore8	Tumour.Prostate	Tumour.Prostate_20	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_21_Iglesias.Gato_GleasonScore7	Tumour.Prostate	Tumour.Prostate_21	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_22_Iglesias.Gato_GleasonScore7_matchedToNonmalignant.Prostate.1	Tumour.Prostate	Tumour.Prostate_22	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_23_Iglesias.Gato_GleasonScore6_matchedToNonmalignant.Prostate.2	Tumour.Prostate	Tumour.Prostate_23	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_24_Iglesias.Gato_GleasonScore6_matchedToNonmalignant.Prostate.3	Tumour.Prostate	Tumour.Prostate_24	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_25_Iglesias.Gato_GleasonScore7_matchedToNonmalignant.Prostate.5	Tumour.Prostate	Tumour.Prostate_25	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_26_Iglesias.Gato_GleasonScore6_matchedToNonmalignant.Prostate.6	Tumour.Prostate	Tumour.Prostate_26	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_27_Iglesias.Gato_GleasonScore6_matchedToNonmalignant.Prostate.7	Tumour.Prostate	Tumour.Prostate_27	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_28_Iglesias.Gato_GleasonScore6_matchedToNonmalignant.Prostate.8	Tumour.Prostate	Tumour.Prostate_28	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_3_Iglesias.Gato_GleasonScore8	Tumour.Prostate	Tumour.Prostate_3	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_4_Iglesias.Gato_GleasonScore7	Tumour.Prostate	Tumour.Prostate_4	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_5_Iglesias.Gato_GleasonScore9	Tumour.Prostate	Tumour.Prostate_5	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_6_Iglesias.Gato_GleasonScore7	Tumour.Prostate	Tumour.Prostate_6	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_7_Iglesias.Gato_GleasonScore8	Tumour.Prostate	Tumour.Prostate_7	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_8_Iglesias.Gato_GleasonScore8	Tumour.Prostate	Tumour.Prostate_8	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.L.Tumour.Prostate_9_Iglesias.Gato_GleasonScore8	Tumour.Prostate	Tumour.Prostate_9	Tumour	Prostate	Iglesias.Gato	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_1_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_1	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_10_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_10	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_11_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_11	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_12_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_12	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_13_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_13	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_14_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_14	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_15_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_15	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_16_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_16	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_17_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_17	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_18_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_18	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_19_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_19	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_2_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_2	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_20_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_20	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_21_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_21	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_22_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_22	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_23_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_23	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_24_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_24	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_25_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_25	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_3_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_3	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_4_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_4	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_5_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_5	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_6_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_6	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_7_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_7	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_8_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_8	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma_9_Zhang_READ	Tumour.RectalAdenocarcinoma	Tumour.RectalAdenocarcinoma_9	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma.Mucinous_1_Zhang_READ	Tumour.RectalAdenocarcinoma.Mucinous	Tumour.RectalAdenocarcinoma.Mucinous_1	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma.Mucinous_2_Zhang_READ	Tumour.RectalAdenocarcinoma.Mucinous	Tumour.RectalAdenocarcinoma.Mucinous_2	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma.Mucinous_3_Zhang_READ	Tumour.RectalAdenocarcinoma.Mucinous	Tumour.RectalAdenocarcinoma.Mucinous_3	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.Tumour.RectalAdenocarcinoma.Mucinous_4_Zhang_READ	Tumour.RectalAdenocarcinoma.Mucinous	Tumour.RectalAdenocarcinoma.Mucinous_4	Tumour	Colorectal	Zhang	#N/A
ppb.iBAQ.L.Tumour.TNBC_12_Tyanova_Basal_T2N0M0_Grade3	Tumour.TNBC	Tumour.TNBC_12	Tumour	Breast	Tyanova	TNB (triple negative)
ppb.iBAQ.L.Tumour.TNBC_15_Tyanova_Basal_T2N0M0_Grade3	Tumour.TNBC	Tumour.TNBC_15	Tumour	Breast	Tyanova	TNB (triple negative)
ppb.iBAQ.L.Tumour.TNBC_18_Tyanova_Basal_T2N0M0_Grade3	Tumour.TNBC	Tumour.TNBC_18	Tumour	Breast	Tyanova	TNB (triple negative)
ppb.iBAQ.L.Tumour.TNBC_22_Tyanova_Basal_T2N0M0_Grade3	Tumour.TNBC	Tumour.TNBC_22	Tumour	Breast	Tyanova	TNB (triple negative)
ppb.iBAQ.L.Tumour.TNBC_32_Tyanova_Basal_T2N1M0_Grade3	Tumour.TNBC	Tumour.TNBC_32	Tumour	Breast	Tyanova	TNB (triple negative)
ppb.iBAQ.L.Tumour.TNBC_38_Tyanova_Basal_T1cN0M0_Grade3	Tumour.TNBC	Tumour.TNBC_38	Tumour	Breast	Tyanova	TNB (triple negative)
ppb.iBAQ.L.Tumour.TNBC_40_Tyanova_Basal_T2N1M0_Grade3	Tumour.TNBC	Tumour.TNBC_40	Tumour	Breast	Tyanova	TNB (triple negative)
ppb.iBAQ.L.Tumour.TNBC_41_Tyanova_Basal_T2N0M0_Grade3	Tumour.TNBC	Tumour.TNBC_41	Tumour	Breast	Tyanova	TNB (triple negative)
ppb.iBAQ.L.Tumour.TNBC_42_Tyanova_Basal_T1cN0M0_Grade3	Tumour.TNBC	Tumour.TNBC_42	Tumour	Breast	Tyanova	TNB (triple negative)
ppb.iBAQ.L.Tumour.TNBC_45_Tyanova_Basal_T1cN0M0_Grade3	Tumour.TNBC	Tumour.TNBC_45	Tumour	Breast	Tyanova	TNB (triple negative)
ppb.iBAQ.L.Tumour.TNBC_46_Tyanova_Basal_T2N0M0_Grade3	Tumour.TNBC	Tumour.TNBC_46	Tumour	Breast	Tyanova	TNB (triple negative)
ppb.iBAQ.L.Tumour.xxxxBC_23_Pozniak_Luminal_LymphNodeNeg_Gradex	Tumour.xxxxBC	Tumour.xxxxBC_23	Tumour	Breast	Pozniak	#N/A
ppb.iBAQ.L.Tumour.xxxxBC_24_Pozniak_Luminal_LymphNodeNeg_Gradex	Tumour.xxxxBC	Tumour.xxxxBC_24	Tumour	Breast	Pozniak	#N/A
ppb.iBAQ.L.Tumour.xxxxBC_25_Pozniak_Luminal_LymphNodeNeg_Gradex	Tumour.xxxxBC	Tumour.xxxxBC_25	Tumour	Breast	Pozniak	#N/A
ppb.iBAQ.L.Tumour.xxxxBC_26_Pozniak_Luminal_LymphNodeNeg_Gradex	Tumour.xxxxBC	Tumour.xxxxBC_26	Tumour	Breast	Pozniak	#N/A
ppb.iBAQ.Tumour.HGSOC_1_Coscia_LeftOvary_serous.papillary.high.grade..FIGO.Stage.IIIB.C..OvCa	Tumour.HGSOC	Tumour.HGSOC_1	Tumour	Ovary	Coscia	#N/A
ppb.iBAQ.Tumour.HGSOC_1_Coscia_RightOvary_serous.papillary.high.grade..FIGO.Stage.IIIB.C..OvCa	Tumour.HGSOC	Tumour.HGSOC_1	Tumour	Ovary	Coscia	#N/A
ppb.iBAQ.Tumour.HGSOC_2_Coscia_LeftOvary_serous.papillary.high.grade..FIGO.Stage.IIIB.C..OvCa	Tumour.HGSOC	Tumour.HGSOC_2	Tumour	Ovary	Coscia	#N/A
ppb.iBAQ.Tumour.HGSOC_3_Coscia_LeftOvary_serous.papillary.high.grade..FIGO.Stage.IIIB.C..OvCa	Tumour.HGSOC	Tumour.HGSOC_3	Tumour	Ovary	Coscia	#N/A
ppb.iBAQ.Tumour.HGSOC_3_Coscia_RightOvary_serous.papillary.high.grade..FIGO.Stage.IIIB.C..OvCa	Tumour.HGSOC	Tumour.HGSOC_3	Tumour	Ovary	Coscia	#N/A
ppb.iBAQ.Tumour.HGSOC_4_Coscia_LeftOvary_serous.papillary.high.grade..FIGO.Stage.IIIB.C..OvCa	Tumour.HGSOC	Tumour.HGSOC_4	Tumour	Ovary	Coscia	#N/A
ppb.iBAQ.Tumour.HGSOC_4_Coscia_RightOvary_serous.papillary.high.grade..FIGO.Stage.IIIB.C..OvCa	Tumour.HGSOC	Tumour.HGSOC_4	Tumour	Ovary	Coscia	#N/A
ppb.iBAQ.Tumour.HGSOC_5_Coscia_Ovary_serous.papillary.high.grade..FIGO.Stage.IIIB.C..OvCa	Tumour.HGSOC	Tumour.HGSOC_5	Tumour	Ovary	Coscia	#N/A
ppb.iBAQ.Tumour.TNBC_1_Lawrence_metastatic.TNBC.stagesIItoIII_Triple.negativeBreastCancer	Tumour.TNBC	Tumour.TNBC_1	Tumour	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.Tumour.TNBC_2_Lawrence_metastatic.TNBC.stagesIItoIII_Triple.negativeBreastCancer	Tumour.TNBC	Tumour.TNBC_2	Tumour	Breast	Lawrence	TNB (triple negative)
ppb.iBAQ.Tumour.TNBC_3_Lawrence_metastatic.TNBC.stagesIItoIII_Triple.negativeBreastCancer	Tumour.TNBC	Tumour.TNBC_3	Tumour	Breast	Lawrence	TNB (triple negative)
